date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:57:35	4122/4122	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2026%20May%202022%2004:57:34%20GMT	https://nft-tailwind.preview.uideck.com/robots.txt		(from )
05:57:35	53649/53649	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:34%20GMT	https://nft-tailwind.preview.uideck.com/	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index.html	(from )
05:57:35	1246/1246	---M--	200	added ('OK')	image/png	etag:%221f2f0aab49218eeff97611c463d486c3%22	https://nft-tailwind.preview.uideck.com/images/favicon.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/favicon.png	(from https://nft-tailwind.preview.uideck.com/)
05:57:37	3312/3312	---MCZ	200	added ('OK')	text/css	etag:W/%2244a28e50db591c03391057c1c536291f%22	https://nft-tailwind.preview.uideck.com/css/animate.css	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/css/animate.css	(from https://nft-tailwind.preview.uideck.com/)
05:57:38	2620/2620	---MCZ	200	added ('OK')	text/css	etag:W/%22ea5dda4ceae0d9a90f34a7a4311aa320%22	https://nft-tailwind.preview.uideck.com/css/tiny-slider.css	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/css/tiny-slider.css	(from https://nft-tailwind.preview.uideck.com/)
05:57:39	34577/34577	---MCZ	200	added ('OK')	text/css	etag:W/%221c0dca3dc87fb5de69023e78fa3e6997%22	https://nft-tailwind.preview.uideck.com/css/tailwind.css	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/css/tailwind.css	(from https://nft-tailwind.preview.uideck.com/)
05:57:40	15218/15218	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f3c102dfeeaf8ffd184effa8ff958818%22	https://nft-tailwind.preview.uideck.com/js/wow.min.js	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/js/wow.min.js	(from https://nft-tailwind.preview.uideck.com/)
05:57:41	35725/35725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22061d9274e6911b4baf34fce666f21f4a%22	https://nft-tailwind.preview.uideck.com/js/alpine.min.js	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/js/alpine.min.js	(from https://nft-tailwind.preview.uideck.com/)
05:57:41	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:41%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:43	976/976	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ab5af1efbddf005998c29e8b8f203a2b%22	https://nft-tailwind.preview.uideck.com/images/logo.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/logo.svg	(from https://nft-tailwind.preview.uideck.com/)
05:57:43	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:43%20GMT	https://nft-tailwind.preview.uideck.com/index.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/index-2.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:44%20GMT	https://nft-tailwind.preview.uideck.com/explore-items.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/explore-items.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:46	33274/33274	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:45%20GMT	https://nft-tailwind.preview.uideck.com/explore-items	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/explore-items.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:46	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:46%20GMT	https://nft-tailwind.preview.uideck.com/item-details.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/item-details.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:48	17509/17509	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:47%20GMT	https://nft-tailwind.preview.uideck.com/item-details	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/item-details.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:48	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:48%20GMT	https://nft-tailwind.preview.uideck.com/create-item.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/create-item.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:55	18690/18690	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:49%20GMT	https://nft-tailwind.preview.uideck.com/create-item	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/create-item.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:55	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:55%20GMT	https://nft-tailwind.preview.uideck.com/connect-wallet.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/connect-wallet.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:56	16706/16706	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:55%20GMT	https://nft-tailwind.preview.uideck.com/connect-wallet	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/connect-wallet.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:56	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:56%20GMT	https://nft-tailwind.preview.uideck.com/support.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/support.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:57	23182/23182	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:57%20GMT	https://nft-tailwind.preview.uideck.com/support	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/support.html	(from https://nft-tailwind.preview.uideck.com/)
05:57:58	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:57:58%20GMT	https://nft-tailwind.preview.uideck.com/signin.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/signin.html	(from https://nft-tailwind.preview.uideck.com/)
05:58:00	20348/20348	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:57:59%20GMT	https://nft-tailwind.preview.uideck.com/signin	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/signin.html	(from https://nft-tailwind.preview.uideck.com/)
05:58:00	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2026%20May%202022%2004:58:00%20GMT	https://nft-tailwind.preview.uideck.com/signup.html	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/signup.html	(from https://nft-tailwind.preview.uideck.com/)
05:58:02	18781/18781	---MCZ	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2004:58:01%20GMT	https://nft-tailwind.preview.uideck.com/signup	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/signup.html	(from https://nft-tailwind.preview.uideck.com/)
05:58:03	165605/165605	---M--	200	added ('OK')	image/jpeg	etag:%222824d73722601cfe680633b589f210e0%22	https://nft-tailwind.preview.uideck.com/images/hero/common-bg.jpg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/hero/common-bg.jpg	(from https://nft-tailwind.preview.uideck.com/)
05:58:04	886824/886824	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22cdbfc969d31018916b6116a7a57a7f77%22	https://nft-tailwind.preview.uideck.com/images/hero/hero-image.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/hero/hero-image.svg	(from https://nft-tailwind.preview.uideck.com/)
